#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG02283	6	6	Xu	REFSEQ hypothetical protein
VOG02284	58	58	Xh	sp|Q9USU3|FBH1_SCHPO F-box DNA helicase protein 1
VOG02285	6	6	Xu	REFSEQ hypothetical protein
VOG02286	156	144	XhXr	sp|P20997|RUVV_VACCC Resolvase A22
VOG02287	10	10	Xu	REFSEQ hypothetical protein
VOG02288	6	6	Xu	sp|O34449|YOQD_BACSU SPbeta prophage-derived putative antirepressor protein YoqD
VOG02289	59	59	Xu	sp|P04891|REGN_BPP22 Probable regulatory protein N
VOG02290	9	8	Xh	sp|Q55752|RLPA_SYNY3 Probable endolytic peptidoglycan transglycosylase RlpA
VOG02291	14	14	Xu	REFSEQ hypothetical protein
VOG02292	46	46	Xu	REFSEQ hypothetical protein
VOG02293	14	11	XrXs	sp|O64307|A1_BPMX1 Minor capsid protein A1
VOG02294	26	26	Xu	REFSEQ hypothetical protein
VOG02295	66	7	Xu	REFSEQ hypothetical protein
VOG02296	135	131	Xu	REFSEQ hypothetical protein
VOG02297	12	12	Xu	REFSEQ hypothetical protein
VOG02298	24	24	Xu	REFSEQ hypothetical protein
VOG02299	5	5	Xu	REFSEQ hypothetical protein
VOG02300	4	4	Xu	REFSEQ hypothetical protein
VOG02301	93	90	Xu	REFSEQ hypothetical protein
VOG02302	102	100	Xu	REFSEQ hypothetical protein
VOG02303	17	17	XhXr	sp|Q07048|RDRP_SCV23 RNA-directed RNA polymerase
VOG02304	7	6	Xu	REFSEQ hypothetical protein
VOG02305	13	11	Xu	REFSEQ putative DNA N6-adenine methyltransferase
VOG02306	92	92	Xu	REFSEQ hypothetical protein
VOG02307	6	6	Xu	REFSEQ hypothetical protein
VOG02308	19	4	Xu	REFSEQ hypothetical protein
VOG02309	4	4	Xu	sp|P45918|YQBB_BACSU Uncharacterized protein YqbB
VOG02310	15	15	Xu	sp|O31963|YOMU_BACSU SPbeta prophage-derived uncharacterized protein YomU
VOG02311	20	20	XhXp	sp|O03978|HOLIN_BPDP1 Holin
VOG02312	12	12	Xu	REFSEQ peptidase
VOG02313	39	39	Xh	sp|Q38477|GP6_BPMU Uncharacterized protein gp6
VOG02314	24	24	Xu	REFSEQ hypothetical protein
VOG02315	9	8	Xu	REFSEQ hypothetical protein
VOG02316	6	4	Xu	REFSEQ 22K
VOG02317	27	27	Xu	REFSEQ hypothetical protein
VOG02318	42	21	Xu	REFSEQ hypothetical protein
VOG02319	40	18	Xu	sp|Q5UQH5|YR822_MIMIV Uncharacterized protein R822
VOG02320	15	15	Xu	REFSEQ hypothetical protein
VOG02321	8	8	Xu	REFSEQ hypothetical protein
VOG02322	29	26	Xu	REFSEQ hypothetical protein
VOG02323	17	17	Xu	REFSEQ hypothetical protein
VOG02324	24	24	Xu	REFSEQ hypothetical protein
VOG02325	11	10	Xu	REFSEQ hypothetical protein
VOG02326	47	34	Xu	sp|P0DSU3|A51_VAR67 Protein A51
VOG02327	36	27	Xu	REFSEQ hypothetical protein
VOG02328	6	6	Xu	REFSEQ tail assembly protein
VOG02329	4	4	Xu	REFSEQ endonuclease I
VOG02330	8	8	Xu	sp|O31940|YONU_BACSU SPbeta prophage-derived uncharacterized protein YonU
VOG02331	9	9	Xu	REFSEQ hypothetical protein
VOG02332	6	6	Xu	REFSEQ LysM peptidoglycan-binding domain-containing protein
VOG02333	24	24	Xu	REFSEQ hypothetical protein
VOG02334	37	35	Xh	sp|Q640T2|WIPI3_XENTR WD repeat domain phosphoinositide-interacting protein 3
VOG02335	4	4	Xu	REFSEQ hypothetical protein 1
VOG02336	9	9	Xu	REFSEQ gp23
VOG02337	4	4	Xu	REFSEQ hypothetical protein
VOG02338	11	11	Xu	REFSEQ hypothetical protein
VOG02339	43	33	Xh	sp|Q5UNY2|CFXQ_MIMIV Putative cfxQ-like protein R730
VOG02340	13	7	Xu	REFSEQ hypothetical protein
VOG02341	20	20	Xu	REFSEQ hypothetical protein
VOG02342	21	21	Xu	REFSEQ hypothetical protein
VOG02343	31	30	Xh	sp|P0ADT5|YGIC_ECOLI Putative acid--amine ligase YgiC
VOG02344	59	59	Xu	sp|P41667|AC114_NPVAC Protein ORF114
VOG02345	9	9	Xu	REFSEQ hypothetical protein
VOG02346	7	7	Xu	REFSEQ bifunctional DNA primase/polymerase
VOG02347	72	59	Xr	sp|Q9FQ04|XRN4_ARATH 5'-3' exoribonuclease 4
VOG02348	33	33	Xu	REFSEQ putative HD domain protein
VOG02349	49	49	Xu	REFSEQ putative virion structural protein
VOG02350	11	11	Xu	REFSEQ hypothetical protein
VOG02351	16	16	Xs	sp|Q83048|P59_LIYV9 Protein p59
VOG02352	11	11	Xu	sp|Q573F0|Y066_AFV2P Putative transmembrane protein ORF66
VOG02353	5	4	Xu	REFSEQ hypothetical protein
VOG02354	60	60	Xu	REFSEQ hypothetical protein
VOG02355	99	99	Xu	sp|P41477|LEF4_NPVAC DNA-dependent RNA polymerase subunit LEF-4
VOG02356	14	14	Xu	REFSEQ hypothetical protein
VOG02357	26	13	Xu	REFSEQ hypothetical protein
VOG02358	6	6	Xu	REFSEQ hypothetical protein
VOG02359	108	103	Xh	sp|O32001|YOKF_BACSU SPbeta prophage-derived endonuclease YokF
VOG02360	5	5	Xs	sp|P52549|GO_HHV6Z 130 kDa Glycoprotein O
VOG02361	33	32	Xu	REFSEQ hypothetical protein
VOG02362	16	9	Xu	REFSEQ hypothetical protein
VOG02363	5	5	Xu	REFSEQ hypothetical protein
VOG02364	17	17	Xu	REFSEQ hypothetical protein
VOG02365	11	11	Xu	REFSEQ hypothetical protein
VOG02366	48	48	Xu	REFSEQ hypothetical protein
VOG02367	8	4	Xu	sp|Q9PWX1|DR1_HHV6Z Uncharacterized protein DR1
VOG02368	6	6	Xu	REFSEQ hypothetical protein
VOG02369	8	5	Xu	REFSEQ hypothetical protein
VOG02370	24	23	Xu	REFSEQ hypothetical protein
VOG02371	8	7	Xu	REFSEQ hypothetical protein
VOG02372	14	13	Xu	REFSEQ hypothetical protein
VOG02373	12	12	Xu	REFSEQ hypothetical protein
VOG02374	5	5	Xu	REFSEQ hypothetical protein
VOG02375	4	4	Xu	REFSEQ hypothetical protein
VOG02376	6	6	Xu	REFSEQ hypothetical protein
VOG02377	129	128	Xu	REFSEQ DUF3987 domain-containing protein
VOG02378	27	27	Xu	REFSEQ hypothetical protein
VOG02379	18	9	Xu	REFSEQ hypothetical protein
VOG02380	33	20	Xu	sp|Q5UQX5|YR883_MIMIV Uncharacterized protein R883
VOG02381	30	29	Xu	REFSEQ hypothetical protein
VOG02382	12	12	Xu	REFSEQ hypothetical protein
VOG02383	9	5	Xu	REFSEQ hypothetical protein
VOG02384	27	27	Xu	REFSEQ hypothetical protein
VOG02385	55	54	Xu	sp|Q5UQP1|YR447_MIMIV Uncharacterized protein R447
VOG02386	7	7	Xu	REFSEQ HNH endonuclease
VOG02387	28	28	Xu	REFSEQ hypothetical protein
VOG02388	49	49	Xu	REFSEQ hypothetical protein
VOG02389	6	6	Xs	sp|P11689|CAPSD_TBSVC Capsid protein
VOG02390	4	4	XhXs	sp|O56042|VP1_RRSVT Structural protein VP1
VOG02391	7	7	Xu	REFSEQ peptide methionine sulfoxide reductase
VOG02392	14	14	Xu	REFSEQ hypothetical protein
VOG02393	183	183	Xh	sp|P04418|END5_BPT4 Endonuclease V
VOG02394	160	159	Xu	sp|Q01435|Y00C_BPT4 Uncharacterized 7.2 kDa protein in Gp39-comCA intergenic region
VOG02395	8	5	Xu	REFSEQ hypothetical protein
VOG02396	17	10	Xu	REFSEQ hypothetical protein
VOG02397	51	51	Xs	sp|Q01055|ITP_SHV21 Inner tegument protein
VOG02398	7	7	Xu	REFSEQ hypothetical protein
VOG02399	6	6	Xu	REFSEQ hypothetical protein
VOG02400	12	12	Xu	REFSEQ Rz1
VOG02401	23	11	Xu	REFSEQ hypothetical protein
VOG02402	4	3	Xu	REFSEQ hypothetical protein
VOG02403	151	148	Xu	REFSEQ hypothetical protein
VOG02404	53	18	Xu	REFSEQ hypothetical protein
VOG02405	25	25	Xu	REFSEQ hypothetical protein
VOG02406	7	7	Xu	REFSEQ hypothetical protein
VOG02407	9	5	Xu	REFSEQ holin
VOG02408	13	7	Xu	REFSEQ hypothetical protein
VOG02409	12	12	Xu	sp|Q8C9A2|ENDOV_MOUSE Endonuclease V
VOG02410	7	6	Xu	REFSEQ hypothetical protein
VOG02411	14	14	Xh	sp|P0AG11|UMUD_ECOLI Protein UmuD
VOG02412	6	6	Xu	REFSEQ hypothetical protein
VOG02413	11	6	Xu	REFSEQ hypothetical protein
VOG02414	12	12	Xu	REFSEQ hypothetical protein
VOG02415	14	7	Xu	sp|Q5UPQ0|YR757_MIMIV Putative F-box protein R757
VOG02416	4	4	Xu	REFSEQ E4
VOG02417	55	54	Xs	sp|Q5UQF7|YR489_MIMIV Uncharacterized protein R489
VOG02418	8	8	Xu	REFSEQ hypothetical protein
VOG02419	42	24	Xu	REFSEQ hypothetical protein
VOG02420	5	5	Xs	sp|P90335|MP8_PMVK Probable movement protein p8
VOG02421	11	7	Xh	sp|P24650|Y007_NPVAC Uncharacterized 23.6 kDa protein in LEF2-PH intergenic region
VOG02422	13	13	Xu	REFSEQ hypothetical protein
VOG02423	6	6	Xu	REFSEQ hypothetical protein
VOG02424	16	16	Xu	REFSEQ hypothetical protein
VOG02425	4	4	Xu	REFSEQ hypothetical protein
VOG02426	6	4	Xu	REFSEQ hypothetical protein
VOG02427	205	203	XhXpXrXs	sp|O64332|TIPL_BPN15 Tail tip protein L
VOG02428	17	15	Xu	sp|Q5UR07|YR650_MIMIV Uncharacterized protein R650
VOG02429	16	16	Xu	REFSEQ hypothetical protein
VOG02430	71	69	Xh	sp|P12828|AC18_NPVAC Protein AC18
VOG02431	40	7	Xu	REFSEQ hypothetical protein
VOG02432	10	10	Xu	sp|Q9QU29|ORF3_TTVB1 Uncharacterized ORF3 protein
VOG02433	62	59	Xu	REFSEQ hypothetical protein
VOG02434	4	4	Xu	REFSEQ hypothetical protein
VOG02435	7	7	Xu	REFSEQ p6
VOG02436	37	37	Xu	REFSEQ hypothetical protein
VOG02437	9	9	Xu	REFSEQ hypothetical protein
VOG02438	16	15	XhXs	sp|P08714|HEMA_VACCI Protein A56
VOG02439	100	77	Xu	REFSEQ hypothetical protein
VOG02440	7	7	Xu	REFSEQ tape measure protein
VOG02441	20	20	XhXp	sp|P0CK58|BALF1_EBVB9 Apoptosis regulator BALF1
VOG02442	32	31	Xu	REFSEQ major capsid protein
VOG02443	5	5	Xu	REFSEQ membrane protein
VOG02444	39	39	Xu	REFSEQ hypothetical protein
VOG02445	62	45	Xu	sp|Q5UR59|YL803_MIMIV Uncharacterized protein L803
VOG02446	28	28	Xu	REFSEQ hypothetical protein
VOG02447	31	7	Xu	REFSEQ hypothetical protein
VOG02448	10	10	Xu	REFSEQ peptidase
VOG02449	11	9	XhXr	sp|Q8L633|RNZ2_ARATH tRNase Z TRZ2, chloroplastic
VOG02450	9	9	Xs	sp|F5HGU6|UL132_HCMVM Envelope glycoprotein UL132
VOG02451	99	90	Xu	REFSEQ tail protein
VOG02452	10	7	Xu	REFSEQ hypothetical protein
VOG02453	16	16	Xu	sp|Q5UPS0|YR785_MIMIV Uncharacterized protein R785
VOG02454	17	16	Xs	sp|P04383|CAPSD_CARMV Capsid protein
VOG02455	18	18	Xu	REFSEQ hypothetical protein
VOG02456	19	17	Xu	sp|Q5UQD5|YR466_MIMIV Uncharacterized protein R466
VOG02457	76	39	Xh	sp|Q5UQW4|YL373_MIMIV Uncharacterized glycosyltransferase L373
VOG02458	12	10	XhXpXs	sp|F5HC14|UL119_HCMVM Viral Fc-gamma receptor-like protein UL119
VOG02459	10	8	Xu	REFSEQ hypothetical protein
VOG02460	5	5	Xu	REFSEQ tail tape measure protein
VOG02461	9	8	Xu	REFSEQ hypothetical protein
VOG02462	11	11	XhXs	sp|P03711|SCAF_LAMBD Capsid assembly protease C
VOG02463	236	235	Xh	sp|Q67472|DNMT_FRG3G Probable DNA (cytosine-5)-methyltransferase
VOG02464	53	30	Xh	sp|Q8BU30|SYIC_MOUSE Isoleucine--tRNA ligase, cytoplasmic
VOG02465	38	22	XhXpXr	sp|P0C6W3|R1AB_BCHK4 Replicase polyprotein 1ab
VOG02466	10	10	Xu	REFSEQ hypothetical protein
VOG02467	22	12	Xu	REFSEQ hypothetical protein
VOG02468	5	5	Xu	REFSEQ hypothetical protein
VOG02469	492	488	Xh	sp|P46343|PHOL_BACSU PhoH-like protein
VOG02470	6	6	Xu	REFSEQ hypothetical protein
VOG02471	62	45	Xu	sp|Q5UQP4|ADPRL_MIMIV Putative ADP-ribosyl glycohydrolase L444
VOG02472	198	198	Xs	sp|P0CK43|MVP_BGYMV Movement protein BC1
VOG02473	10	10	XhXpXs	sp|P12473|VP4_ROTRH Outer capsid protein VP4
VOG02474	31	29	Xh	sp|Q197F4|VF118_IIV3 Putative myristoylated protein 006R
VOG02475	10	10	Xu	REFSEQ 2K protein
VOG02476	165	165	Xu	REFSEQ hypothetical protein
VOG02477	16	16	Xu	REFSEQ hypothetical protein
VOG02478	5	5	Xu	REFSEQ hypothetical protein
VOG02479	515	275	Xu	sp|O64242|VG52_BPMD2 Gene 52 protein
VOG02480	48	48	Xu	REFSEQ hypothetical protein
VOG02481	24	24	XhXr	sp|P06953|SSB_BPPZA Single-stranded DNA-binding protein
VOG02482	210	143	Xu	REFSEQ portal protein
VOG02483	141	141	Xu	REFSEQ hypothetical protein
VOG02484	33	33	Xu	sp|Q6GZU9|027R_FRG3G Uncharacterized protein 027R
VOG02485	6	6	Xu	REFSEQ hypothetical protein
VOG02486	29	28	Xu	REFSEQ hypothetical protein
VOG02487	73	33	XhXs	sp|Q5UPL2|YR135_MIMIV Putative GMC-type oxidoreductase R135
VOG02488	75	75	Xu	REFSEQ structural protein
VOG02489	8	7	XpXs	sp|Q6TVP7|V073_ORFSA Protein ORFV073
VOG02490	6	6	XhXr	sp|P39787|DNAD_BACSU DNA replication protein DnaD
VOG02491	14	14	Xu	REFSEQ hypothetical protein
VOG02492	137	116	Xu	sp|Q98544|Y494R_PBCV1 Putative transcription factor A494R
VOG02493	13	12	Xu	REFSEQ hypothetical protein
VOG02494	28	21	Xu	sp|P0DOL7|M2_VAR67 Protein M2
VOG02495	13	13	Xu	REFSEQ hypothetical protein
VOG02496	4	4	Xu	REFSEQ Hz102-like protein
VOG02497	5	5	Xu	REFSEQ hypothetical protein
VOG02498	5	5	Xu	REFSEQ DNA polymerase III subunit theta
VOG02499	20	20	Xu	REFSEQ hypothetical protein
VOG02500	17	10	Xu	REFSEQ hypothetical protein
VOG02501	7	4	Xu	REFSEQ Ring domain containing protein
VOG02502	26	23	Xu	sp|Q5UQ25|YL204_MIMIV Uncharacterized protein L204
VOG02503	14	14	Xu	REFSEQ hypothetical protein
VOG02504	23	23	Xu	REFSEQ hypothetical protein
VOG02505	6	6	Xu	sp|Q65475|VPA1_BEFVB Protein alpha-1
VOG02506	13	12	Xu	REFSEQ hypothetical protein
VOG02507	86	86	XhXr	sp|P07541|PKG16_BPPZA DNA packaging protein
VOG02508	13	13	Xu	REFSEQ hypothetical protein
VOG02509	16	16	Xu	REFSEQ hypothetical protein
VOG02510	70	58	Xh	sp|O10276|VE26_NPVOP Putative early 21.8 kDa protein
VOG02511	4	4	Xu	REFSEQ hypothetical protein
VOG02512	6	6	Xu	REFSEQ hypothetical protein
VOG02513	4	4	Xu	REFSEQ ORF119
VOG02514	47	43	XhXs	sp|Q5UR52|YR584_MIMIV Uncharacterized N-acetyltransferase R584
VOG02515	18	18	Xu	REFSEQ hypothetical protein
VOG02516	99	99	Xu	REFSEQ hypothetical protein
VOG02517	14	14	Xu	REFSEQ hypothetical protein
VOG02518	11	11	Xh	sp|A3EX99|VEMP_BCHK4 Envelope small membrane protein
VOG02519	14	14	Xu	REFSEQ hypothetical protein
VOG02520	31	16	Xu	sp|Q5UPB7|YR044_MIMIV Uncharacterized protein R44
VOG02521	7	7	Xu	REFSEQ hypothetical protein
VOG02522	18	18	Xu	sp|Q8QL32|Y84_SIRV1 Uncharacterized protein 84
VOG02523	8	6	Xu	REFSEQ tumor necrosis factor receptor-like protein
VOG02524	35	35	Xh	sp|P26749|VG10_BPP22 Packaged DNA stabilization protein gp10
VOG02525	6	6	Xu	REFSEQ AAA-type ATPase
VOG02526	8	8	Xu	REFSEQ hypothetical protein
VOG02527	21	4	Xu	REFSEQ hypothetical protein
VOG02528	7	7	Xu	REFSEQ hypothetical protein
VOG02529	52	33	Xh	sp|Q5UQ00|FPG_MIMIV Probable formamidopyrimidine-DNA glycosylase
VOG02530	41	40	Xh	sp|A4KX75|MMP_HVAVE Putative matrix metalloproteinase
VOG02531	22	20	Xu	REFSEQ hypothetical protein
VOG02532	11	8	Xu	REFSEQ hypothetical protein
VOG02533	6	6	Xu	REFSEQ hypothetical protein
VOG02534	81	68	XhXrXs	sp|P07617|MCE_VACCW Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase
VOG02535	36	25	XhXp	sp|P08393|ICP0_HHV11 E3 ubiquitin-protein ligase ICP0
VOG02536	5	4	Xu	REFSEQ hypothetical protein
VOG02537	30	30	XhXpXrXs	sp|Q01076|GP20_BPP22 Internal virion protein gp20
VOG02538	90	90	Xu	sp|P03771|NINH_LAMBD Protein ninH
VOG02539	5	5	Xu	REFSEQ hypothetical protein
VOG02540	23	23	Xu	REFSEQ hypothetical protein
VOG02541	28	28	XhXs	sp|P06482|EV45_HHV1M Envelope protein UL45
VOG02542	9	6	Xu	REFSEQ hypothetical protein
VOG02543	6	6	Xu	REFSEQ hypothetical protein
VOG02544	6	6	Xu	REFSEQ HNH endonuclease
VOG02545	9	9	XhXpXrXs	sp|B8XTP8|POLG_COSAA Genome polyprotein
VOG02546	87	87	Xu	sp|O10350|Y110_NPVOP Uncharacterized 6.7 kDa protein
VOG02547	21	7	Xu	REFSEQ hypothetical protein
VOG02548	5	5	Xu	REFSEQ hypothetical protein
VOG02549	9	9	XhXpXrXs	sp|Q69422|POLG_GBVB Genome polyprotein
VOG02550	11	9	Xu	REFSEQ hypothetical protein
VOG02551	24	24	Xu	sp|Q196Y8|072L_IIV3 Uncharacterized protein 072L
VOG02552	71	52	Xh	sp|O81983|SYS_HELAN Serine--tRNA ligase
VOG02553	7	6	Xu	REFSEQ tail tape measure protein
VOG02554	15	15	Xu	REFSEQ MazG-like nucleotide pyrophosphohydrolase
VOG02555	57	40	Xu	sp|Q5UPU2|YR252_MIMIV Uncharacterized protein R252
VOG02556	17	8	Xh	sp|Q8I5R7|SYP_PLAF7 Proline--tRNA ligase
VOG02557	51	49	Xu	sp|Q5UQA2|YL534_MIMIV Uncharacterized protein L534
VOG02558	11	7	Xu	REFSEQ hypothetical protein
VOG02559	48	48	Xu	REFSEQ hypothetical protein
VOG02560	7	7	Xu	REFSEQ hypothetical protein
VOG02561	5	5	Xr	sp|Q0H8C1|NSP3_ROTB2 Non-structural protein 3
VOG02562	7	6	Xu	REFSEQ hypothetical protein
VOG02563	5	5	Xh	sp|Q5UR20|YR366_MIMIV Putative ATP-dependent RNA helicase R366
VOG02564	45	45	XhXpXrXs	sp|P12915|POLG_BOVEV Genome polyprotein
VOG02565	75	75	Xu	sp|Q05257|VG46_BPML5 Gene 46 protein
VOG02566	12	12	Xu	sp|C1JJY5|ORF6_HAPV1 Uncharacterized protein 6
VOG02567	6	6	Xs	sp|P52519|P100_HHV7J Large structural phosphoprotein
VOG02568	9	9	Xu	REFSEQ hypothetical protein
VOG02569	34	32	Xh	sp|Q5UNZ1|YL733_MIMIV Uncharacterized ABC transporter ATP-binding protein/permease L733
VOG02570	16	10	Xu	REFSEQ hypothetical protein
VOG02571	10	10	Xu	sp|P28978|VG01_EHV1B Uncharacterized gene 1 protein
VOG02572	6	6	Xu	REFSEQ hypothetical protein 1
VOG02573	11	11	Xh	sp|P11320|E316_ADE03 Early E3 16 kDa glycoprotein
VOG02574	4	4	Xu	REFSEQ e119.1
VOG02575	12	11	Xu	sp|P41474|Y084_NPVAC Uncharacterized 21.7 kDa protein in GP41-PNK intergenic region
VOG02576	97	68	Xu	REFSEQ hypothetical protein
VOG02577	86	86	XhXpXrXs	sp|P04332|PORTL_BPPH2 Portal protein
VOG02578	4	4	Xu	REFSEQ hypothetical protein
VOG02579	21	11	Xu	REFSEQ hypothetical protein
VOG02580	20	18	Xu	REFSEQ hypothetical protein
VOG02581	7	7	Xu	REFSEQ putative glycoprotein
VOG02582	26	26	Xu	sp|Q91FG7|VF357_IIV6 Uncharacterized protein 357R
VOG02583	22	22	Xu	REFSEQ hypothetical protein
VOG02584	4	4	Xu	REFSEQ putative silencing supressor
VOG02585	8	8	Xu	REFSEQ hypothetical protein
VOG02586	13	13	Xu	sp|O64258|VG66_BPMD2 Gene 66 protein
VOG02587	87	56	XhXrXs	sp|Q7T6Y4|DPOLX_MIMIV Probable DNA polymerase family X
VOG02588	122	122	Xu	REFSEQ hypothetical protein
VOG02589	63	62	Xu	REFSEQ hypothetical protein
VOG02590	4	4	Xu	REFSEQ pR32
VOG02591	36	36	Xu	REFSEQ hypothetical protein
VOG02592	31	31	XhXpXrXs	sp|P26746|EXLYS_BPP22 Peptidoglycan hydrolase gp4
VOG02593	14	11	Xu	REFSEQ hypothetical protein
VOG02594	20	20	Xu	sp|Q5UQB1|YL218_MIMIV Uncharacterized protein L218
VOG02595	6	6	Xh	sp|O57177|VPK2_VACCA Serine/threonine-protein kinase 2
VOG02596	39	39	XrXs	sp|Q86134|NCAP_LNYV3 Nucleoprotein
VOG02597	12	12	Xu	REFSEQ hypothetical protein
VOG02598	11	8	Xu	REFSEQ hypothetical protein
VOG02599	17	17	Xu	REFSEQ hypothetical protein
VOG02600	6	6	Xu	sp|A4KXL9|CSPL_HVAVE Caspase-like protein
VOG02601	60	58	Xu	REFSEQ hypothetical protein
VOG02602	25	25	Xu	REFSEQ hypothetical protein
VOG02603	38	38	Xu	REFSEQ hypothetical protein
VOG02604	28	28	XpXs	sp|P0C796|NCAP_BDV1 Nucleoprotein
VOG02605	60	60	Xu	REFSEQ hypothetical protein
VOG02606	12	12	XhXs	sp|Q64756|L2MU_ADEG1 Late L2 mu core protein
VOG02607	15	11	Xh	sp|P17367|C5_VACCW Protein C5
VOG02608	29	29	Xu	REFSEQ Gp15 family bacterioprotein
VOG02609	53	52	Xu	REFSEQ hypothetical protein
VOG02610	17	17	Xu	REFSEQ hypothetical protein
VOG02611	6	6	Xu	REFSEQ hypothetical protein
VOG02612	18	18	Xu	REFSEQ DUF6096 family protein
VOG02613	4	4	XhXpXrXs	sp|P33515|POLG_MCFA Genome polyprotein
VOG02614	4	4	Xs	sp|Q6UDL9|GN_PSHV1 Envelope glycoprotein N
VOG02615	35	35	XhXrXs	sp|Q5UQW1|YL376_MIMIV Putative DNA-directed RNA polymerase subunit L376
VOG02616	31	27	Xu	sp|Q5URB6|YR843_MIMIV Uncharacterized hydrolase R843
VOG02617	11	11	Xu	REFSEQ hypothetical protein
VOG02618	13	13	Xu	REFSEQ hypothetical protein
VOG02619	5	4	Xu	REFSEQ hypothetical protein
VOG02620	17	17	Xh	sp|A4XIX0|HSLU_CALS8 ATP-dependent protease ATPase subunit HslU
VOG02621	5	5	Xu	REFSEQ hypothetical protein
VOG02622	22	22	Xh	sp|Q01075|VG14_BPP22 Protein gp14
VOG02623	15	15	Xu	REFSEQ head-tail adaptor protein
VOG02624	6	6	Xu	REFSEQ hypothetical protein
VOG02625	15	15	Xu	REFSEQ hypothetical protein
VOG02626	4	3	Xu	REFSEQ hypothetical protein
VOG02627	6	6	Xu	sp|P16755|UL13_HCMVA Uncharacterized protein UL13
VOG02628	15	15	XhXpXs	sp|P10930|FIB12_BPT4 Short tail fiber protein gp12
VOG02629	4	4	Xu	REFSEQ hypothetical protein
VOG02630	25	25	XhXs	sp|Q6QIB5|CAPSD_BPBMU Major capsid protein
VOG02631	18	18	Xu	REFSEQ hypothetical protein
VOG02632	4	4	Xu	REFSEQ hypothetical protein
VOG02633	4	4	Xu	REFSEQ 15 kDa
VOG02634	24	24	Xu	sp|Q5UQN2|YL434_MIMIV Uncharacterized protein L434
VOG02635	6	6	Xu	sp|Q05265|VG55_BPML5 Gene 55 protein
VOG02636	29	28	Xu	REFSEQ hypothetical protein
VOG02637	21	12	Xh	sp|Q64770|GAM1_ADEG1 Protein GAM-1
VOG02638	77	77	Xu	REFSEQ hypothetical protein
VOG02639	11	6	Xh	sp|F5HC33|US09_HCMVM Membrane glycoprotein US9
VOG02640	14	14	XrXs	sp|P03601|CAPSD_CCMV Capsid protein
VOG02641	7	7	XhXr	sp|D4N3P2|REP_HCYV5 Replication-associated protein
VOG02642	36	35	XhXs	sp|P28929|TEG5_EHV1B Tegument protein UL47 homolog
VOG02643	8	8	Xu	REFSEQ hypothetical protein
VOG02644	72	68	Xu	REFSEQ hypothetical protein
VOG02645	155	154	Xu	REFSEQ hypothetical protein
VOG02646	12	7	Xu	REFSEQ Eukaryotic translation initiation factor 4E
VOG02647	10	10	Xu	REFSEQ hypothetical protein
VOG02648	17	15	Xu	sp|Q5UP72|YR604_MIMIV Uncharacterized protein R604
VOG02649	24	24	Xu	REFSEQ hypothetical protein
VOG02650	5	5	Xu	REFSEQ hypothetical protein
VOG02651	13	7	Xu	REFSEQ hypothetical protein
VOG02652	21	21	Xh	sp|Q5UNU7|YL682_MIMIV Uncharacterized protein L682
VOG02653	24	7	Xu	REFSEQ hypothetical protein
VOG02654	6	2	Xu	REFSEQ hypothetical protein
VOG02655	6	2	Xu	REFSEQ hypothetical protein
VOG02656	14	14	Xu	REFSEQ hypothetical protein
VOG02657	7	7	Xu	REFSEQ ORF0
VOG02658	6	6	Xu	REFSEQ hypothetical protein
VOG02659	9	9	Xh	sp|Q38200|COM_BPD10 Translational activator com
VOG02660	6	5	XrXs	sp|P09516|MCAPS_BYDVP Readthrough protein P3-RTD
VOG02661	5	3	Xu	REFSEQ hypothetical protein
VOG02662	68	68	Xu	REFSEQ hypothetical protein
VOG02663	7	7	Xu	REFSEQ virion structural protein
VOG02664	6	3	Xu	REFSEQ hypothetical protein
VOG02665	28	28	Xu	REFSEQ hypothetical protein
VOG02666	23	23	Xu	REFSEQ hypothetical protein
VOG02667	6	6	Xu	REFSEQ hypothetical protein
VOG02668	75	75	Xu	REFSEQ DUF1270 domain-containing protein
VOG02669	5	4	Xu	REFSEQ tail sheath monomer
VOG02670	583	582	XpXs	sp|P36278|CAPSD_TLCVA Capsid protein
VOG02671	10	10	Xh	sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP
VOG02672	14	14	Xu	REFSEQ hypothetical protein
VOG02673	18	18	Xu	REFSEQ hypothetical protein
VOG02674	7	7	Xu	REFSEQ hypothetical protein
VOG02675	68	68	Xu	REFSEQ hypothetical protein
VOG02676	8	8	Xu	REFSEQ hypothetical protein
VOG02677	17	17	Xu	REFSEQ hypothetical protein
VOG02678	28	28	Xu	REFSEQ tail protein
VOG02679	18	12	Xu	REFSEQ hypothetical protein
VOG02680	8	8	Xu	REFSEQ hypothetical protein
VOG02681	17	17	Xu	sp|B2BNE8|VNS2_AQRVG Non-structural protein 2
VOG02682	4	4	Xu	REFSEQ Px
VOG02683	11	6	Xu	REFSEQ hypothetical protein
VOG02684	6	6	Xu	REFSEQ head closure protein
VOG02685	47	47	Xu	REFSEQ hypothetical protein
VOG02686	13	13	XhXr	sp|P07393|RDRP_BPGA RNA-directed RNA polymerase beta chain
VOG02687	211	207	Xs	sp|E7DNB6|TMP_BPDP1 Tape measure protein
